R1,R2,R3,R4,R5,R6
6,13,14,21,25,35
5,6,8,19,21,33
15,16,23,27,35,37
3,4,18,21,22,26
1,3,7,21,24,32
2,9,11,22,26,27
5,16,26,31,34,35
1,2,5,6,10,11
9,11,15,20,31,36
8,13,18,19,21,34
2,6,12,25,28,31
6,20,30,33,34,36
1,2,4,12,17,33
9,22,26,27,28,37
2,10,23,32,33,39
2,5,8,26,32,34
12,18,21,22,32,37
14,17,20,24,32,37
11,15,35,37,38,39
1,7,17,29,31,32
1,8,20,23,28,35
1,2,23,28,29,33
3,17,18,20,24,38
8,12,20,31,34,37
11,17,24,26,28,33
1,12,19,21,30,34
4,5,9,24,29,37
1,4,15,27,33,37
2,4,6,13,17,20
4,11,14,15,23,35
11,16,19,20,23,34
15,20,28,29,37,38
6,9,12,16,35,36
2,8,9,25,29,36
9,17,18,28,37,39
8,15,22,32,33,37
3,4,13,24,28,32
3,11,15,18,20,26
8,15,18,24,26,33
5,17,20,26,31,37
7,10,13,15,17,21
1,19,28,29,31,37
6,16,19,25,30,38
16,21,22,29,32,37
13,16,23,24,29,39
19,22,23,31,34,38
4,8,14,17,30,39
15,20,22,26,29,34
2,17,35,36,37,38
5,13,15,22,23,35
3,7,13,16,21,39
1,3,5,7,18,37
13,20,25,28,30,35
9,11,19,21,27,29
1,4,6,10,11,18
6,10,12,16,25,32
5,19,30,32,35,37
7,11,21,22,25,31
2,10,17,23,28,37
5,7,13,27,29,33
2,8,19,22,26,38
7,19,21,22,27,37
5,9,10,19,21,33
6,17,21,26,29,34
3,6,10,15,37,38
6,11,18,26,32,38
1,14,16,22,23,25
12,15,20,25,26,36
12,17,20,24,29,33
6,15,25,26,34,38
10,15,18,28,30,36
2,3,21,22,32,36
12,13,25,28,32,33
8,17,19,37,38,39
4,10,13,15,20,21
2,7,19,23,26,37
15,16,22,27,28,37
2,6,18,23,27,37
10,12,16,30,33,34
10,15,25,28,30,36
4,7,15,17,23,26
8,9,20,25,33,35
1,5,10,13,26,28
5,20,25,28,35,36
5,11,13,15,27,37
18,20,33,35,36,39
3,9,19,28,31,35
4,6,31,32,33,34
4,5,6,18,31,33
3,13,16,18,29,35
15,16,21,26,37,39
3,6,9,23,26,33
15,16,23,26,29,34
13,14,21,28,30,38
4,12,19,25,31,38
6,11,15,21,37,38
5,6,15,20,28,31
5,7,10,15,30,38
3,6,17,29,30,31
10,15,25,28,30,39
3,4,6,17,27,34
1,7,11,13,22,35
2,3,5,7,8,19
9,16,19,25,32,38
14,16,20,24,37,38
2,5,7,17,23,29
12,14,16,17,28,30
9,10,11,25,32,38
2,7,8,11,33,36
9,15,23,28,32,36
2,15,27,28,31,37
6,7,8,17,32,36
2,6,8,10,24,38
6,16,20,30,31,33
11,15,18,21,25,34
3,8,10,11,19,28
5,12,15,20,23,32
3,14,17,23,31,33
4,12,20,22,25,26
16,25,30,32,38,39
9,14,18,24,28,33
2,9,11,25,30,33
2,11,12,29,30,34
1,5,15,16,17,30
14,15,27,32,33,35
1,15,24,28,31,37
9,12,15,16,20,21
7,11,12,16,38,39
2,14,18,23,32,38
1,8,18,22,36,37
2,11,13,17,24,37
1,13,22,23,28,35
8,15,26,28,37,39
8,16,17,18,31,35
1,6,23,24,28,29
1,7,18,22,26,35
2,9,17,20,23,34
1,6,9,26,28,34
2,7,9,11,38,39
16,19,21,27,36,38
16,17,23,26,31,37
3,4,7,18,31,35
6,8,10,22,26,28
4,12,17,21,30,38
2,14,15,17,22,28
5,10,15,16,27,33
8,12,15,21,36,38
